,"必ず
来たい",来たい,"やや
来たい","何とも
言えない","あまり
来たくない",来たくない,"絶対
来たくない",無回答,合計,標本数
全体,55.7,33.8,5.1,4.0,0.7,0.3,0.0,0.4,100,"12,797"
韓国,27.0,48.7,12.3,9.8,1.5,0.5,0.0,0.2,100,"1,917"
台湾,66.7,28.2,2.8,1.4,0.4,0.0,0.0,0.5,100,"1,819"
中国,59.8,32.2,3.1,4.1,0.2,0.3,0.0,0.3,100,"2,561"
香港,67.0,25.4,3.7,3.1,0.4,0.1,0.1,0.3,100,926
タイ,62.0,29.9,5.3,2.0,0.0,0.1,0.0,0.7,100,742
シンガポール,52.1,40.7,5.2,1.0,0.3,0.3,0.0,0.5,100,330
マレーシア,46.0,41.4,9.3,2.7,0.0,0.3,0.0,0.3,100,278
米国,65.3,28.4,3.8,1.4,0.3,0.1,0.1,0.7,100,"1,211"
カナダ,65.7,25.7,4.1,2.3,0.8,1.2,0.0,0.3,100,272
英国,61.4,28.6,5.2,2.1,1.3,0.9,0.4,0.0,100,300
ドイツ,62.1,25.4,6.6,3.1,0.9,0.0,0.5,1.3,100,196
フランス,52.0,34.7,8.1,3.8,0.4,0.7,0.0,0.3,100,264
イタリア,46.0,30.3,13.7,7.5,1.1,0.6,0.6,0.3,100,196
スペイン,53.7,34.8,5.9,3.3,1.2,0.0,0.0,1.2,100,208
オーストラリア,61.5,25.4,6.7,3.4,1.4,1.4,0.0,0.2,100,424
インド,56.5,37.6,4.7,0.0,0.6,0.6,0.0,0.0,100,173
インドネシア,62.7,30.1,4.9,1.0,0.0,0.3,0.0,1.0,100,323
フィリピン,73.7,23.5,1.3,0.7,0.0,0.3,0.0,0.4,100,293
ベトナム,59.3,35.9,1.6,2.6,0.0,0.0,0.0,0.6,100,190
ロシア,64.3,28.1,3.3,1.3,1.1,0.0,0.0,1.9,100,164
その他,52.8,40.3,0.0,0.0,6.9,0.0,0.0,0.0,100,10
